SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.0.8802.1.1.2.1.2.7.1.3.25, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.26, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.27, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.28, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.29, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.30, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.31, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.32, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.33, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.34, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.35, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.36, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.37, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.38, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.39, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.40, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.41, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.42, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.43, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.44, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.45, Type=Counter32, Value=0
OID=.1.0.8802.1.1.2.1.2.7.1.3.46, Type=Counter32, Value=0
